order_id,order_date,customer_id,category,product_sku,quantity,unit_price,total,payment_method,status
PO-20057,2025-06-24,C2003,Cleaning,CLE-324,1,57.73,57.73,card,completed
PO-20058,2025-12-24,C2023,Electrical,ELE-643,10,280.09,2800.9,invoice,completed
PO-20059,2026-01-14,C2024,Cleaning,CLE-950,5,30.08,150.4,card,completed
PO-20060,2025-09-04,C2022,Electrical,ELE-383,2,248.95,497.9,card,completed
PO-20061,2025-09-24,C1019,Hardware,HAR-378,1,72.73,72.73,card,completed
PO-20062,2026-04-27,C1053,Hardware,HAR-165,1,34.5,34.5,card,completed
PO-20063,2025-11-16,C1045,Safety Gear,SAF-812,1,178.52,178.52,card,completed
PO-20064,2025-09-30,C2019,Cleaning,CLE-973,3,51.13,153.39,card,refunded
PO-20065,2025-08-21,C3006,Cleaning,CLE-324,1,32.22,32.22,card,completed
PO-20066,2025-07-24,C2000,Cleaning,CLE-230,10,34.84,348.4,invoice,completed
PO-20067,2025-06-12,C2014,Electrical,ELE-538,1,223.91,223.91,card,completed
PO-20068,2025-10-15,C1010,Office,OFF-879,3,39.16,117.48,invoice,completed
PO-20069,2025-05-27,C1031,Office,OFF-329,2,95.5,191.0,card,cancelled
PO-20070,2025-08-11,C3007,Tools,TOO-736,1,87.28,87.28,card,completed
PO-20071,2026-04-24,C1020,Office,OFF-885,1,75.86,75.86,invoice,completed
PO-20072,2025-10-07,C2022,Tools,TOO-692,1,149.51,149.51,card,completed
PO-20073,2025-08-10,C2021,Tools,TOO-706,2,255.13,510.26,card,cancelled
PO-20074,2026-03-04,C3001,Tools,TOO-915,10,307.18,3071.8,card,completed
PO-20075,2026-01-15,C3007,Electrical,ELE-449,1,206.42,206.42,card,completed
PO-20076,2026-04-28,C3008,Hardware,HAR-545,1,47.48,47.48,card,completed
PO-20077,2026-01-03,C3001,Cleaning,CLE-546,3,37.99,113.97,card,completed
PO-20078,2025-09-20,C1041,Cleaning,CLE-349,2,36.77,73.54,card,completed
PO-20079,2025-08-02,C3004,Cleaning,CLE-317,1,19.95,19.95,card,completed
PO-20080,2026-02-09,C2007,Tools,TOO-629,5,73.68,368.4,ach,completed
PO-20081,2026-04-19,C1031,Cleaning,CLE-761,2,30.2,60.4,card,completed
PO-20082,2025-10-04,C2011,Electrical,ELE-695,1,262.46,262.46,card,refunded
PO-20083,2026-04-25,C1068,Cleaning,CLE-377,1,18.45,18.45,ach,completed
PO-20084,2026-04-19,C2009,Hardware,HAR-296,1,44.93,44.93,ach,cancelled
PO-20085,2025-06-21,C1005,Hardware,HAR-403,1,24.2,24.2,card,completed
PO-20086,2025-05-28,C1001,Safety Gear,SAF-399,2,42.73,85.46,ach,completed
PO-20087,2026-02-18,C3007,Office,OFF-580,1,46.16,46.16,invoice,completed
PO-20088,2025-06-28,C1072,Tools,TOO-510,1,238.3,238.3,card,completed
PO-20089,2025-10-03,C1066,Tools,TOO-354,1,301.09,301.09,card,completed
PO-20090,2025-11-11,C1012,Cleaning,CLE-404,3,59.46,178.38,card,completed
PO-20091,2025-08-15,C1000,Electrical,ELE-316,1,64.1,64.1,card,completed
PO-20092,2025-11-26,C3001,Safety Gear,SAF-581,1,61.67,61.67,ach,completed
PO-20093,2026-04-17,C2017,Hardware,HAR-370,2,54.5,109.0,card,completed
PO-20094,2025-08-24,C3009,Electrical,ELE-252,5,377.19,1885.95,card,completed
PO-20095,2026-02-16,C2015,Office,OFF-549,1,85.13,85.13,card,completed
PO-20096,2025-05-21,C3009,Cleaning,CLE-852,1,19.52,19.52,card,completed
PO-20097,2026-02-25,C1066,Tools,TOO-883,2,135.29,270.58,card,cancelled
PO-20098,2026-03-30,C3007,Cleaning,CLE-384,1,37.61,37.61,card,completed
PO-20099,2025-10-26,C3004,Cleaning,CLE-441,1,11.65,11.65,card,completed
PO-20100,2026-04-05,C2024,Cleaning,CLE-933,2,7.98,15.96,card,completed
PO-20101,2025-11-23,C2024,Tools,TOO-773,3,199.76,599.28,card,completed
PO-20102,2026-01-11,C2022,Electrical,ELE-552,2,115.49,230.98,card,completed
PO-20103,2026-01-04,C2000,Tools,TOO-129,10,248.97,2489.7,card,completed
PO-20104,2026-02-07,C2004,Cleaning,CLE-195,1,51.44,51.44,card,completed
PO-20105,2026-01-11,C1070,Electrical,ELE-398,1,144.84,144.84,ach,completed
PO-20106,2025-07-14,C1053,Cleaning,CLE-295,5,33.45,167.25,ach,completed
PO-20107,2025-10-22,C2021,Safety Gear,SAF-373,3,70.91,212.73,card,completed
PO-20108,2026-01-06,C2010,Hardware,HAR-557,1,35.47,35.47,card,completed
PO-20109,2025-08-05,C2015,Electrical,ELE-344,1,128.1,128.1,ach,completed
PO-20110,2026-04-27,C2001,Cleaning,CLE-495,10,48.79,487.9,card,completed
PO-20111,2025-07-04,C2014,Safety Gear,SAF-704,1,38.07,38.07,ach,completed
PO-20112,2025-05-08,C3004,Electrical,ELE-247,1,305.01,305.01,card,completed
PO-20113,2025-10-21,C3006,Safety Gear,SAF-809,1,34.46,34.46,card,completed
PO-20114,2025-10-10,C1080,Electrical,ELE-835,3,234.94,704.82,card,completed
PO-20115,2026-04-16,C3001,Office,OFF-332,2,56.6,113.2,card,completed
PO-20116,2025-10-01,C1067,Tools,TOO-147,1,63.8,63.8,card,completed
PO-20117,2025-11-27,C1074,Hardware,HAR-274,1,53.45,53.45,card,completed
PO-20118,2025-07-13,C3008,Hardware,HAR-572,2,43.25,86.5,card,completed
PO-20119,2025-07-20,C3007,Tools,TOO-552,5,375.86,1879.3,card,completed
PO-20120,2025-10-02,C2022,Hardware,HAR-493,3,19.25,57.75,card,completed
PO-20121,2025-09-29,C3000,Tools,TOO-949,2,136.95,273.9,card,completed
PO-20122,2026-03-07,C2011,Electrical,ELE-608,3,409.23,1227.69,ach,completed
PO-20123,2025-08-21,C3002,Electrical,ELE-294,2,314.66,629.32,ach,completed
PO-20124,2026-03-18,C2004,Tools,TOO-742,2,148.49,296.98,card,completed
PO-20125,2025-06-16,C3005,Office,OFF-434,2,27.67,55.34,card,completed
PO-20126,2026-01-27,C3004,Safety Gear,SAF-379,3,66.25,198.75,ach,completed
PO-20127,2025-10-21,C3006,Tools,TOO-579,5,92.15,460.75,invoice,completed
PO-20128,2026-02-10,C2023,Office,OFF-192,2,9.56,19.12,card,completed
PO-20129,2026-04-10,C1003,Office,OFF-698,1,79.52,79.52,card,completed
PO-20130,2026-03-14,C3004,Safety Gear,SAF-435,5,59.85,299.25,card,completed
PO-20131,2026-03-29,C1030,Cleaning,CLE-219,1,57.1,57.1,card,completed
PO-20132,2026-01-31,C2023,Hardware,HAR-497,1,57.59,57.59,ach,completed
PO-20133,2025-07-19,C1047,Cleaning,CLE-770,1,32.42,32.42,card,completed
PO-20134,2025-08-20,C2020,Cleaning,CLE-555,5,52.19,260.95,card,completed
PO-20135,2025-10-31,C1027,Tools,TOO-507,1,369.35,369.35,invoice,completed
PO-20136,2026-03-25,C3003,Electrical,ELE-711,10,51.24,512.4,card,completed
PO-20137,2025-06-05,C1076,Safety Gear,SAF-312,1,166.35,166.35,card,cancelled
PO-20138,2025-05-02,C1003,Office,OFF-979,10,118.6,1186.0,card,completed
PO-20139,2025-07-07,C1016,Tools,TOO-466,2,124.71,249.42,card,completed
PO-20140,2025-12-02,C2007,Electrical,ELE-165,1,356.77,356.77,card,completed
PO-20141,2026-03-11,C2000,Tools,TOO-844,2,335.44,670.88,card,completed
PO-20142,2025-06-01,C1010,Cleaning,CLE-967,1,43.05,43.05,card,completed
PO-20143,2025-10-12,C3006,Safety Gear,SAF-251,1,69.5,69.5,card,completed
PO-20144,2026-03-02,C1083,Safety Gear,SAF-401,1,128.98,128.98,card,completed
PO-20145,2026-03-30,C2014,Safety Gear,SAF-838,3,97.41,292.23,ach,completed
PO-20146,2025-11-21,C3007,Tools,TOO-420,1,267.81,267.81,card,completed
PO-20147,2025-06-04,C3008,Tools,TOO-951,1,189.68,189.68,ach,completed
PO-20148,2025-05-31,C3006,Safety Gear,SAF-675,1,140.6,140.6,card,completed
PO-20149,2025-05-27,C3003,Office,OFF-714,1,19.6,19.6,card,completed
PO-20150,2025-06-25,C3008,Office,OFF-965,1,20.87,20.87,card,completed
PO-20151,2026-03-15,C1023,Safety Gear,SAF-791,2,24.73,49.46,invoice,completed
PO-20152,2025-09-17,C2012,Electrical,ELE-880,1,172.73,172.73,card,completed
PO-20153,2025-06-05,C2014,Hardware,HAR-858,2,14.08,28.16,ach,completed
PO-20154,2025-10-22,C1006,Hardware,HAR-478,1,34.06,34.06,invoice,completed
PO-20155,2025-07-19,C2019,Hardware,HAR-872,2,57.83,115.66,card,completed
PO-20156,2025-12-13,C3007,Hardware,HAR-873,1,35.47,35.47,card,completed
PO-20157,2026-01-25,C1027,Electrical,ELE-415,1,196.01,196.01,card,completed
PO-20158,2025-07-10,C1068,Office,OFF-396,1,8.87,8.87,ach,completed
PO-20159,2026-04-26,C3000,Hardware,HAR-612,1,57.43,57.43,card,completed
PO-20160,2025-06-09,C1002,Office,OFF-689,1,53.3,53.3,card,completed
PO-20161,2025-10-14,C1013,Hardware,HAR-920,5,43.29,216.45,card,completed
PO-20162,2025-09-02,C2010,Cleaning,CLE-703,1,10.25,10.25,ach,refunded
PO-20163,2025-07-26,C2023,Tools,TOO-622,2,222.75,445.5,card,cancelled
PO-20164,2026-03-27,C3001,Hardware,HAR-341,1,29.41,29.41,card,completed
PO-20165,2025-07-30,C3009,Electrical,ELE-605,1,266.77,266.77,card,completed
PO-20166,2026-03-26,C1056,Electrical,ELE-739,1,437.81,437.81,card,completed
PO-20167,2026-03-20,C2001,Office,OFF-915,1,14.29,14.29,card,completed
PO-20168,2025-05-30,C2016,Office,OFF-951,1,80.2,80.2,invoice,completed
PO-20169,2025-11-13,C3005,Safety Gear,SAF-910,2,27.38,54.76,invoice,completed
PO-20170,2026-03-06,C3001,Cleaning,CLE-613,1,9.34,9.34,card,completed
PO-20171,2026-01-14,C2005,Electrical,ELE-276,1,327.2,327.2,invoice,completed
PO-20172,2025-09-22,C2002,Cleaning,CLE-518,2,42.66,85.32,card,completed
PO-20173,2025-10-16,C3009,Tools,TOO-671,2,140.19,280.38,ach,completed
PO-20174,2025-07-16,C3006,Office,OFF-183,1,23.84,23.84,card,completed
PO-20175,2025-07-06,C3008,Safety Gear,SAF-825,5,75.72,378.6,card,completed
PO-20176,2025-06-17,C3005,Electrical,ELE-786,1,181.97,181.97,card,completed
PO-20177,2026-01-04,C2017,Hardware,HAR-331,10,22.54,225.4,card,completed
PO-20178,2026-01-25,C1023,Tools,TOO-777,1,301.71,301.71,card,completed
PO-20179,2026-04-20,C3003,Safety Gear,SAF-928,5,149.81,749.05,card,completed
PO-20180,2025-12-14,C3003,Electrical,ELE-902,1,254.28,254.28,card,completed
PO-20181,2025-11-05,C2005,Safety Gear,SAF-551,1,70.72,70.72,card,completed
PO-20182,2025-08-11,C2003,Safety Gear,SAF-241,3,29.39,88.17,card,completed
PO-20183,2026-04-30,C3002,Safety Gear,SAF-971,1,35.1,35.1,card,completed
PO-20184,2025-08-22,C1010,Cleaning,CLE-457,5,28.4,142.0,card,completed
PO-20185,2025-10-11,C1060,Tools,TOO-959,2,157.32,314.64,card,completed
PO-20186,2026-04-22,C1027,Hardware,HAR-877,2,42.5,85.0,card,completed
PO-20187,2025-07-16,C2001,Safety Gear,SAF-844,2,96.19,192.38,ach,completed
PO-20188,2025-08-31,C2000,Cleaning,CLE-754,2,30.68,61.36,card,completed
PO-20189,2026-03-20,C2018,Safety Gear,SAF-688,1,45.84,45.84,card,completed
PO-20190,2025-06-13,C2012,Safety Gear,SAF-469,1,114.69,114.69,card,completed
PO-20191,2025-11-15,C3001,Office,OFF-359,2,47.99,95.98,card,completed
PO-20192,2026-02-22,C1059,Electrical,ELE-874,1,48.62,48.62,card,completed
PO-20193,2026-04-22,C1025,Cleaning,CLE-746,1,13.28,13.28,ach,completed
PO-20194,2025-05-23,C2001,Hardware,HAR-142,1,33.09,33.09,card,completed
PO-20195,2026-03-28,C1047,Hardware,HAR-392,1,65.1,65.1,ach,completed
PO-20196,2025-12-10,C3005,Electrical,ELE-550,3,192.39,577.17,invoice,completed
PO-20197,2026-01-21,C2010,Office,OFF-920,1,55.54,55.54,card,completed
PO-20198,2025-06-22,C1056,Tools,TOO-435,2,147.68,295.36,card,completed
PO-20199,2025-10-27,C1007,Cleaning,CLE-143,2,55.23,110.46,card,completed
PO-20200,2025-06-08,C3002,Electrical,ELE-752,1,245.5,245.5,ach,completed
PO-20201,2026-03-08,C2012,Electrical,ELE-900,1,83.02,83.02,card,completed
PO-20202,2026-02-15,C3009,Tools,TOO-719,1,195.72,195.72,card,completed
PO-20203,2025-07-10,C1023,Safety Gear,SAF-475,1,136.92,136.92,card,completed
PO-20204,2026-01-11,C2019,Safety Gear,SAF-496,5,41.2,206.0,ach,completed
PO-20205,2025-09-24,C3007,Electrical,ELE-602,1,87.01,87.01,card,completed
PO-20206,2025-06-14,C2009,Electrical,ELE-965,10,310.49,3104.9,ach,completed
PO-20207,2025-07-20,C1025,Electrical,ELE-826,5,297.83,1489.15,ach,completed
PO-20208,2025-07-11,C3008,Hardware,HAR-909,1,36.54,36.54,card,completed
PO-20209,2025-07-06,C2024,Safety Gear,SAF-188,1,91.67,91.67,ach,completed
PO-20210,2025-11-26,C2004,Tools,TOO-228,10,260.18,2601.8,card,completed
PO-20211,2026-02-07,C3008,Electrical,ELE-701,1,435.83,435.83,card,completed
PO-20212,2025-07-18,C3001,Office,OFF-268,1,112.69,112.69,card,completed
PO-20213,2025-09-06,C2016,Hardware,HAR-750,5,30.66,153.3,card,completed
PO-20214,2026-03-25,C3005,Hardware,HAR-706,5,22.49,112.45,card,refunded
PO-20215,2026-02-13,C2020,Tools,TOO-945,3,72.21,216.63,invoice,cancelled
PO-20216,2025-08-16,C1038,Safety Gear,SAF-526,2,25.45,50.9,ach,completed
PO-20217,2026-01-03,C1056,Hardware,HAR-924,3,39.61,118.83,card,completed
PO-20218,2025-11-29,C3005,Hardware,HAR-448,2,33.26,66.52,ach,refunded
PO-20219,2025-11-06,C1012,Safety Gear,SAF-675,1,63.51,63.51,card,completed
PO-20220,2025-05-26,C3009,Office,OFF-493,3,54.83,164.49,invoice,completed
PO-20221,2025-10-08,C2002,Hardware,HAR-881,1,79.73,79.73,card,completed
PO-20222,2025-11-18,C3007,Hardware,HAR-320,1,15.31,15.31,card,completed
PO-20223,2025-09-24,C2012,Safety Gear,SAF-108,3,97.57,292.71,ach,refunded
PO-20224,2025-05-27,C2017,Safety Gear,SAF-675,1,119.58,119.58,card,completed
PO-20225,2025-09-21,C3005,Safety Gear,SAF-796,2,43.16,86.32,card,completed
PO-20226,2026-02-10,C1017,Office,OFF-873,1,75.48,75.48,card,completed
PO-20227,2026-05-01,C1078,Office,OFF-923,1,59.18,59.18,card,completed
PO-20228,2025-10-11,C2016,Hardware,HAR-502,10,62.27,622.7,card,completed
PO-20229,2026-01-28,C3006,Cleaning,CLE-825,1,31.64,31.64,card,completed
PO-20230,2026-02-23,C2020,Office,OFF-915,3,105.68,317.04,card,completed
PO-20231,2026-02-21,C3006,Safety Gear,SAF-333,2,125.03,250.06,card,completed
PO-20232,2025-07-15,C2013,Electrical,ELE-348,1,428.25,428.25,card,completed
PO-20233,2025-07-17,C3000,Cleaning,CLE-807,1,33.1,33.1,card,completed
PO-20234,2026-04-27,C2005,Hardware,HAR-631,1,34.1,34.1,card,completed
PO-20235,2025-12-22,C3004,Office,OFF-659,1,94.46,94.46,ach,completed
PO-20236,2026-03-09,C3003,Cleaning,CLE-296,5,21.07,105.35,card,completed
PO-20237,2026-04-19,C1015,Electrical,ELE-600,1,176.5,176.5,invoice,refunded
PO-20238,2026-02-18,C3004,Electrical,ELE-656,1,441.67,441.67,ach,cancelled
PO-20239,2025-05-22,C2006,Office,OFF-831,1,111.49,111.49,card,refunded
PO-20240,2026-01-31,C1006,Office,OFF-675,2,23.37,46.74,card,completed
PO-20241,2026-04-08,C2021,Safety Gear,SAF-331,2,29.45,58.9,card,completed
PO-20242,2025-07-10,C2006,Tools,TOO-663,10,97.91,979.1,card,completed
PO-20243,2025-09-25,C1004,Office,OFF-392,2,109.69,219.38,card,completed
PO-20244,2025-07-29,C3002,Cleaning,CLE-957,1,55.66,55.66,invoice,completed
PO-20245,2025-09-26,C1082,Tools,TOO-109,1,246.93,246.93,invoice,completed
PO-20246,2026-02-03,C1014,Safety Gear,SAF-605,3,44.16,132.48,card,completed
PO-20247,2025-10-17,C2009,Hardware,HAR-848,1,29.49,29.49,card,refunded
PO-20248,2026-02-15,C3008,Electrical,ELE-875,1,286.6,286.6,card,completed
PO-20249,2025-10-15,C3000,Tools,TOO-510,2,106.9,213.8,card,completed
PO-20250,2025-09-11,C3000,Cleaning,CLE-341,1,20.42,20.42,card,completed
PO-20251,2025-09-11,C1064,Electrical,ELE-468,2,56.09,112.18,card,completed
PO-20252,2026-04-26,C1017,Office,OFF-806,1,110.61,110.61,card,completed
PO-20253,2025-11-08,C3003,Cleaning,CLE-818,1,31.42,31.42,card,completed
PO-20254,2026-04-14,C1072,Safety Gear,SAF-994,2,114.59,229.18,card,completed
PO-20255,2025-06-27,C1066,Tools,TOO-948,1,214.34,214.34,card,completed
PO-20256,2025-08-14,C2016,Electrical,ELE-697,1,407.53,407.53,card,completed
PO-20257,2025-11-29,C1000,Tools,TOO-672,1,315.32,315.32,ach,completed
PO-20258,2025-08-20,C3001,Safety Gear,SAF-174,1,82.02,82.02,card,completed
PO-20259,2025-11-26,C2012,Hardware,HAR-887,1,55.62,55.62,ach,completed
PO-20260,2025-12-16,C3005,Cleaning,CLE-484,1,58.06,58.06,ach,completed
PO-20261,2025-06-30,C3004,Hardware,HAR-650,1,20.66,20.66,invoice,completed
PO-20262,2025-12-24,C1024,Safety Gear,SAF-534,1,168.2,168.2,card,completed
PO-20263,2025-06-27,C1008,Tools,TOO-928,2,251.0,502.0,invoice,completed
PO-20264,2025-06-21,C3006,Safety Gear,SAF-134,1,140.96,140.96,ach,completed
PO-20265,2025-08-20,C2018,Tools,TOO-243,1,141.9,141.9,ach,refunded
PO-20266,2026-03-03,C2013,Electrical,ELE-938,1,156.74,156.74,card,completed
PO-20267,2025-10-01,C2013,Office,OFF-162,1,74.27,74.27,ach,completed
PO-20268,2026-02-09,C2013,Cleaning,CLE-148,10,56.85,568.5,card,completed
PO-20269,2025-11-09,C1059,Hardware,HAR-872,1,28.39,28.39,card,completed
PO-20270,2025-05-30,C1042,Safety Gear,SAF-522,5,120.31,601.55,card,completed
PO-20271,2026-03-28,C1048,Tools,TOO-560,3,75.98,227.94,ach,completed
PO-20272,2026-04-10,C3008,Safety Gear,SAF-717,1,33.1,33.1,ach,completed
PO-20273,2025-08-20,C1024,Cleaning,CLE-313,3,23.98,71.94,invoice,completed
PO-20274,2025-06-30,C2007,Electrical,ELE-872,1,131.89,131.89,card,completed
PO-20275,2026-02-07,C1065,Office,OFF-894,1,60.22,60.22,card,completed
PO-20276,2026-01-10,C3005,Cleaning,CLE-200,3,45.01,135.03,ach,completed
PO-20277,2025-10-08,C2018,Cleaning,CLE-146,1,17.95,17.95,card,completed
PO-20278,2026-02-21,C3007,Electrical,ELE-527,1,112.4,112.4,card,completed
PO-20279,2026-02-06,C2015,Electrical,ELE-801,1,350.61,350.61,card,refunded
PO-20280,2025-10-28,C3000,Hardware,HAR-243,2,45.21,90.42,invoice,completed
PO-20281,2026-01-24,C1017,Tools,TOO-959,3,361.64,1084.92,card,cancelled
PO-20282,2026-03-19,C1081,Hardware,HAR-169,2,12.62,25.24,card,completed
PO-20283,2026-04-07,C1067,Safety Gear,SAF-594,2,22.83,45.66,card,completed
PO-20284,2025-09-18,C1012,Safety Gear,SAF-393,1,166.37,166.37,card,completed
PO-20285,2026-01-24,C3001,Hardware,HAR-346,1,47.8,47.8,ach,completed
PO-20286,2025-11-08,C3000,Cleaning,CLE-678,1,43.65,43.65,card,completed
PO-20287,2025-06-17,C1063,Cleaning,CLE-488,1,31.7,31.7,card,completed
PO-20288,2025-12-09,C1072,Office,OFF-679,10,117.07,1170.7,ach,completed
PO-20289,2025-06-08,C1026,Electrical,ELE-387,3,266.67,800.01,card,completed
PO-20290,2026-02-25,C1030,Hardware,HAR-870,3,67.82,203.46,invoice,completed
PO-20291,2026-02-15,C3001,Cleaning,CLE-793,3,23.91,71.73,ach,completed
PO-20292,2026-01-12,C2019,Electrical,ELE-454,1,213.58,213.58,ach,completed
PO-20293,2026-03-01,C2011,Cleaning,CLE-892,1,40.24,40.24,ach,completed
PO-20294,2026-02-08,C2007,Cleaning,CLE-542,1,37.64,37.64,card,cancelled
PO-20295,2026-05-01,C3005,Tools,TOO-184,1,172.3,172.3,ach,completed
PO-20296,2025-05-03,C2017,Office,OFF-555,1,38.21,38.21,card,completed
PO-20297,2026-02-09,C2010,Safety Gear,SAF-517,1,36.13,36.13,card,completed
PO-20298,2025-11-28,C2005,Cleaning,CLE-897,1,54.66,54.66,invoice,completed
PO-20299,2026-04-16,C1035,Cleaning,CLE-273,1,22.26,22.26,card,completed
PO-20300,2025-06-09,C1013,Office,OFF-357,5,88.74,443.7,card,completed
PO-20301,2025-07-09,C2013,Office,OFF-106,5,45.21,226.05,card,completed
PO-20302,2026-03-30,C2012,Safety Gear,SAF-239,1,128.58,128.58,card,completed
PO-20303,2025-10-11,C2008,Office,OFF-852,2,62.99,125.98,card,completed
PO-20304,2025-08-11,C2022,Safety Gear,SAF-658,1,158.17,158.17,card,refunded
PO-20305,2025-08-16,C3002,Cleaning,CLE-916,1,43.41,43.41,ach,completed
PO-20306,2026-03-21,C1076,Office,OFF-347,1,25.26,25.26,card,completed
PO-20307,2026-01-01,C2011,Safety Gear,SAF-510,1,186.23,186.23,ach,completed
PO-20308,2026-04-25,C3002,Safety Gear,SAF-708,2,35.3,70.6,ach,completed
PO-20309,2026-03-28,C2013,Safety Gear,SAF-145,1,136.11,136.11,card,cancelled
PO-20310,2025-06-24,C3003,Tools,TOO-200,1,216.08,216.08,card,completed
PO-20311,2025-12-24,C1053,Electrical,ELE-702,2,93.31,186.62,invoice,completed
PO-20312,2025-06-13,C3008,Tools,TOO-951,5,92.46,462.3,card,completed
PO-20313,2026-01-03,C2022,Office,OFF-587,1,88.86,88.86,card,completed
PO-20314,2025-06-28,C1022,Tools,TOO-969,1,81.64,81.64,ach,refunded
PO-20315,2026-02-07,C2005,Hardware,HAR-438,1,77.18,77.18,card,completed
PO-20316,2026-03-24,C2012,Electrical,ELE-542,1,339.7,339.7,ach,completed
PO-20317,2025-05-03,C2017,Electrical,ELE-319,1,345.98,345.98,ach,completed
