sku,product_name,category,qty_on_hand,reorder_point,unit_cost,holding_cost_monthly,last_sold_date,supplier
ELE-203,Power Strip,Electrical,75,20,32.67,8.17,2026-01-08,TradeWorks
ELE-204,Power Strip,Electrical,75,50,141.69,35.42,2025-12-21,Hilltop Ind.
ELE-205,Drill Bits,Electrical,30,20,105.27,10.53,2025-06-19,Northbridge
ELE-206,Drill Bits,Electrical,75,50,8.44,2.11,2026-04-20,Acme Supply
ELE-207,LED Bulb 4-pk,Electrical,30,10,209.57,20.96,2025-11-17,Northbridge
ELE-208,LED Bulb 4-pk,Electrical,75,100,114.61,28.65,2026-03-29,Acme Supply
ELE-209,LED Bulb 4-pk,Electrical,12,10,164.73,6.59,2026-01-19,Hilltop Ind.
ELE-210,LED Bulb 4-pk,Electrical,5,10,200.79,3.35,2025-11-11,Acme Supply
ELE-211,LED Bulb 4-pk,Electrical,30,100,24.95,2.5,2025-12-28,Northbridge
ELE-212,Cable Reel,Electrical,0,20,42.41,0.0,2026-01-08,TradeWorks
ELE-213,Cable Reel,Electrical,5,100,200.67,3.34,2026-01-15,Hilltop Ind.
ELE-214,Surge Protector,Electrical,12,10,208.35,8.33,2026-03-02,Northbridge
ELE-215,Surge Protector,Electrical,150,100,68.58,34.29,2025-11-20,Northbridge
ELE-216,Surge Protector,Electrical,75,20,109.66,27.42,2025-11-07,Hilltop Ind.
